(0,1174.14)
(-0.0781511,1174.06)
(-0.156302,1173.99)
(-0.234453,1173.91)
(-0.312605,1173.83)
(-0.390756,1173.75)
(-0.468907,1173.67)
(-0.547058,1173.6)
(-0.625209,1173.52)
(-0.70336,1173.44)
(-0.781511,1173.36)
(-0.859663,1173.28)
(-0.937814,1173.21)
(-1.01596,1173.13)
(-1.09412,1173.05)
(-1.17227,1172.97)
(-1.25042,1172.89)
(-1.32857,1172.81)
(-1.40672,1172.74)
(-1.48487,1172.66)
(-1.56302,1172.58)
(-1.64117,1172.5)
(-1.71933,1172.42)
(-1.79748,1172.35)
(-1.87563,1172.27)
(-1.95378,1172.19)
(-2.03193,1172.11)
(-2.11008,1172.03)
(-2.18823,1171.95)
(-2.26638,1171.88)
(-2.34453,1171.8)
(-2.42269,1171.72)
(-2.50084,1171.64)
(-2.57899,1171.56)
(-2.65714,1171.49)
(-2.73529,1171.41)
(-2.81344,1171.33)
(-2.89159,1171.25)
(-2.96974,1171.17)
(-3.04789,1171.09)
(-3.12605,1171.02)
(-3.2042,1170.94)
(-3.28235,1170.86)
(-3.3605,1170.78)
(-3.43865,1170.7)
(-3.5168,1170.63)
(-3.59495,1170.55)
(-3.6731,1170.47)
(-3.75126,1170.39)
(-3.82941,1170.31)
(-3.90756,1170.24)
(-3.98571,1170.16)
(-4.06386,1170.08)
(-4.14201,1170)
(-4.22016,1169.92)
(-4.29831,1169.84)
(-4.37646,1169.77)
(-4.45462,1169.69)
(-4.53277,1169.61)
(-4.61092,1169.53)
(-4.68907,1169.45)
(-4.76722,1169.38)
(-4.84537,1169.3)
(-4.92352,1169.22)
(-5.00167,1169.14)
(-5.07982,1169.06)
(-5.15798,1168.98)
(-5.23613,1168.91)
(-5.31428,1168.83)
(-5.39243,1168.75)
(-5.47058,1168.67)
(-5.54873,1168.59)
(-5.62688,1168.52)
(-5.70503,1168.44)
(-5.78319,1168.36)
(-5.86134,1168.28)
(-5.93949,1168.2)
(-6.01764,1168.13)
(-6.09579,1168.05)
(-6.17394,1167.97)
(-6.25209,1167.89)
(-6.33024,1167.81)
(-6.40839,1167.73)
(-6.48655,1167.66)
(-6.5647,1167.58)
(-6.64285,1167.5)
(-6.721,1167.42)
(-6.79915,1167.34)
(-6.8773,1167.27)
(-6.95545,1167.19)
(-7.0336,1167.11)
(-7.11175,1167.03)
(-7.18991,1166.95)
(-7.26806,1166.87)
(-7.34621,1166.8)
(-7.42436,1166.72)
(-7.50251,1166.64)
(-7.58066,1166.56)
(-7.65881,1166.48)
(-7.73696,1166.41)
(-7.81511,1166.33)
(-7.89327,1166.25)
(-7.97142,1166.17)
(-8.04957,1151.22)
(-8.12772,1166.02)
(-8.20587,1165.94)
(-8.28402,1165.86)
(-8.36217,1165.78)
(-8.44032,1165.7)
(-8.51848,1165.62)
(-8.59663,1165.55)
(-8.67478,1165.47)
(-8.75293,1165.39)
(-8.83108,1165.31)
(-8.90923,1165.23)
(-8.98738,1165.16)
(-9.06553,1165.08)
(-9.14368,1165)
(-9.22184,1164.92)
(-9.29999,1164.84)
(-9.37814,1164.76)
(-9.45629,1164.69)
(-9.53444,1164.61)
(-9.61259,1164.53)
(-9.69074,1164.45)
(-9.76889,1164.37)
(-9.84704,1164.3)
(-9.9252,1164.22)
(-10.0033,1164.14)
(-10.0815,1164.06)
(-10.1596,1163.98)
(-10.2378,1163.91)
(-10.316,1163.83)
(-10.3941,1163.75)
(-10.4723,1163.67)
(-10.5504,1163.59)
(-10.6286,1163.51)
(-10.7067,1163.44)
(-10.7849,1163.36)
(-10.863,1163.28)
(-10.9412,1163.2)
(-11.0193,1163.12)
(-11.0975,1163.05)
(-11.1756,1162.97)
(-11.2538,1162.89)
(-11.3319,1162.81)
(-11.4101,1162.73)
(-11.4882,1162.65)
(-11.5664,1162.58)
(-11.6445,1162.5)
(-11.7227,1162.42)
(-11.8008,1162.34)
(-11.879,1162.26)
(-11.9571,1162.19)
(-12.0353,1162.11)
(-12.1134,1162.03)
(-12.1916,1161.95)
(-12.2697,1161.87)
(-12.3479,1161.79)
(-12.426,1161.72)
(-12.5042,1161.64)
(-12.5823,1161.56)
(-12.6605,1161.48)
(-12.7386,1161.4)
(-12.8168,1161.33)
(-12.8949,1161.25)
(-12.9731,1161.17)
(-13.0512,1161.09)
(-13.1294,1161.01)
(-13.2075,1160.94)
(-13.2857,1160.86)
(-13.3638,1160.78)
(-13.442,1160.7)
(-13.5201,1160.62)
(-13.5983,1160.54)
(-13.6765,1160.47)
(-13.7546,1160.39)
(-13.8328,1160.31)
